"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"SOT8BUS","197511","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","197512","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","197513","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","197601","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","197602","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","197603","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","197604","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","197605","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","197606","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","197607","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","197608","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","197609","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","197610","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","197611","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","197612","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","197613","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","197701","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","197702","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","197703","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","197704","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","197705","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","197706","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","197707","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","197708","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","197709","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","197710","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","197711","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","197712","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","197713","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","197801","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","197802","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","197803","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","197804","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","197805","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","197806","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","197807","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","197808","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","197809","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","197810","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","197811","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","197812","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","197813","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","197901","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","197902","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","197903","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","197904","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","197905","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","197906","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","197907","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","197908","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","197909","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","197910","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","197911","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","197912","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","197913","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198001","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198002","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198003","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
